"Statistics name :","City Data Basic Data(original)"
"Table Number :","0000020101"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics A Population and Households"
"Implementation date :","-","-"
"Cities, Towns and Villages :","2017/06/23"

"***","Data not available"
"-","Not applicable"
"X","Not available"

"","","","","","A1101","","A110101","","A110102","","A1102","","A110201","","A110202","","A1231","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302","","A1401","","A140101","","A140102","","A1402","","A140201","","A140202","","A1403","","A140301","","A140302","","A1404","","A140401","","A140402","","A1405","","A140501","","A140502","","A1406","","A140601","","A140602","","A1407","","A140701","","A140702","","A1408","","A140801","","A140802","","A1409","","A140901","","A140902","","A1410","","A141001","","A141002","","A1411","","A141101","","A141102","","A1412","","A141201","","A141202","","A1413","","A141301","","A141302","","A1414","","A141401","","A141402","","A1415","","A141501","","A141502","","A1416","","A141601","","A141602","","A1417","","A141701","","A141702","","A1418","","A141801","","A141802","","A1419","","A141901","","A141902","","A1420","","A142001","","A142002","","A1700","","A1801","","A180101","","A180102","","A1802","","A2101","","A210101","","A210102","","A2201","","A2301","","A4101","","A4200","","A5101","","A5102","","A6101","","A6102","","A6103","","A6104","","A6105","","A6106","","A6107","","A6108","","A7101","","A710101","","A710102","","A710201","","A710202","","A7103","","A810101","","A810102","","A810103","","A810104","","A810105","","A811102","","A8201","","A8301","","A830101","","A830102","","A8401","","A840101","","A840102","","A840103","","A8501","","A850101","","A850102","","A850103","","A9101","","A9201",""
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/A Population and Households","A1101_Total population[person]","Annotation","A110101_Total population [male][person]","Annotation","A110102_Total population [female][person]","Annotation","A1102_Japanese population[person]","Annotation","(A110201)","Annotation","(A110202)","Annotation","A1231_Median age of  population","Annotation","A1301_Population under 15 years old[person]","Annotation","A130101_Population under 15 years old [male][person]","Annotation","A130102_Population under 15 years old [female][person]","Annotation","A1302_Population 15-64 years old[person]","Annotation","A130201_Population 15-64 years old [male][person]","Annotation","A130202_Population 15-64 years old [female][person]","Annotation","A1303_Population 65 years old and over[person]","Annotation","A130301_Population 65 years old and over [male][person]","Annotation","A130302_Population 65 years old and over [female][person]","Annotation","(A1401)","Annotation","(A140101)","Annotation","(A140102)","Annotation","(A1402)","Annotation","(A140201)","Annotation","(A140202)","Annotation","(A1403)","Annotation","(A140301)","Annotation","(A140302)","Annotation","(A1404)","Annotation","(A140401)","Annotation","(A140402)","Annotation","(A1405)","Annotation","(A140501)","Annotation","(A140502)","Annotation","(A1406)","Annotation","(A140601)","Annotation","(A140602)","Annotation","(A1407)","Annotation","(A140701)","Annotation","(A140702)","Annotation","(A1408)","Annotation","(A140801)","Annotation","(A140802)","Annotation","(A1409)","Annotation","(A140901)","Annotation","(A140902)","Annotation","(A1410)","Annotation","(A141001)","Annotation","(A141002)","Annotation","(A1411)","Annotation","(A141101)","Annotation","(A141102)","Annotation","(A1412)","Annotation","(A141201)","Annotation","(A141202)","Annotation","(A1413)","Annotation","(A141301)","Annotation","(A141302)","Annotation","(A1414)","Annotation","(A141401)","Annotation","(A141402)","Annotation","(A1415)","Annotation","(A141501)","Annotation","(A141502)","Annotation","(A1416)","Annotation","(A141601)","Annotation","(A141602)","Annotation","A1417_Population 70 years old and over[person]","Annotation","(A141701)","Annotation","(A141702)","Annotation","(A1418)","Annotation","(A141801)","Annotation","(A141802)","Annotation","(A1419)","Annotation","(A141901)","Annotation","(A141902)","Annotation","(A1420)","Annotation","(A142001)","Annotation","(A142002)","Annotation","A1700_Population of foreigners[person]","Annotation","A1801_DIDs (Densely Inhabited Districts) population[person]","Annotation","(A180101)","Annotation","(A180102)","Annotation","A1802_DIDs area[km2]","Annotation","(A2101)","Annotation","(A210101)","Annotation","(A210102)","Annotation","(A2201)","Annotation","A2301_Basic resident register population  [total][person]","Annotation","A4101_Live births[person]","Annotation","A4200_Deaths[person]","Annotation","A5101_In-migrants from other prefectures[person]","Annotation","A5102_Out-migrants to other prefectures[person]","Annotation","(A6101)","Annotation","(A6102)","Annotation","(A6103)","Annotation","A6104_Out flow population[person]","Annotation","(A6105)","Annotation","A6106_Inflow population[person]","Annotation","A6107_Daytime population[person]","Annotation","(A6108)","Annotation","A7101_Total households","Annotation","A710101_Private households","Annotation","(A710102)","Annotation","A710201_Private household members[person]","Annotation","(A710202)","Annotation","(A7103)","Annotation","(A810101)","Annotation","A810102_Family nuclei households","Annotation","(A810103)","Annotation","(A810104)","Annotation","A810105_One-person households","Annotation","(A811102)","Annotation","A8201_Aged-couple households","Annotation","A8301_Aged-single-person  households","Annotation","(A830101)","Annotation","(A830102)","Annotation","A8401_Mother-child(ren) households","Annotation","(A840101)","Annotation","(A840102)","Annotation","(A840103)","Annotation","A8501_Father-child(ren) households","Annotation","(A850101)","Annotation","(A850102)","Annotation","(A850103)","Annotation","A9101_Marriages","Annotation","A9201_Divorces","Annotation"
"1980100000","1980","01100","Sapporo-shi","","1,401,757","","***","","***","","***","","***","","***","","***","","323,473","","***","","***","","989,049","","***","","***","","87,440","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","2,580","","1,265,054","","***","","***","","***","","***","","***","","***","","***","","***","","***","","6,342","","***","","***","","485,417","","564,747","","348,268","","29","","381,106","","366","","1,433,137","","***","","507,420","","***","","***","","***","","***","","***","","***","","313,675","","***","","***","","115,090","","26,859","","***","","8,747","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","12,382","","3,157",""
"1980100000","1980","01101","Chuo-ku","","181,806","","***","","***","","***","","***","","***","","***","","32,415","","***","","***","","133,254","","***","","***","","15,685","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","489","","174,186","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,069","","***","","***","","57,930","","101,267","","22,025","","2","","200,099","","67","","359,493","","***","","77,962","","***","","***","","***","","***","","***","","***","","37,890","","***","","***","","27,421","","5,031","","***","","2,242","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,834","","453",""
"1980100000","1980","01102","Kita-ku","","195,370","","***","","***","","***","","***","","***","","***","","43,907","","***","","***","","139,427","","***","","***","","11,736","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","311","","176,108","","***","","***","","***","","***","","***","","***","","***","","***","","***","","843","","***","","***","","65,451","","72,954","","56,545","","4","","38,571","","49","","177,141","","***","","72,761","","***","","***","","***","","***","","***","","***","","41,938","","***","","***","","19,739","","3,594","","***","","951","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,629","","432",""
"1980100000","1980","01103","Higashi-ku","","213,310","","***","","***","","***","","***","","***","","***","","49,692","","***","","***","","151,074","","***","","***","","12,432","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","367","","194,811","","***","","***","","***","","***","","***","","***","","***","","***","","***","","900","","***","","***","","75,142","","81,343","","56,466","","4","","30,611","","48","","187,387","","***","","77,602","","***","","***","","***","","***","","***","","***","","48,129","","***","","***","","17,934","","4,033","","***","","1,225","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","2,139","","491",""
"1980100000","1980","01104","Shiroishi-ku","","228,061","","***","","***","","***","","***","","***","","***","","57,515","","***","","***","","157,099","","***","","***","","13,311","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","380","","206,824","","***","","***","","***","","***","","***","","***","","***","","***","","***","","966","","***","","***","","82,201","","90,220","","55,308","","3","","34,025","","76","","206,715","","***","","77,936","","***","","***","","***","","***","","***","","***","","53,083","","***","","***","","13,266","","4,176","","***","","1,343","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,936","","577",""
"1980100000","1980","01105","Toyohira-ku","","218,330","","***","","***","","***","","***","","***","","***","","49,545","","***","","***","","156,081","","***","","***","","12,204","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","617","","203,387","","***","","***","","***","","***","","***","","***","","***","","***","","***","","894","","***","","***","","73,025","","82,448","","61,729","","5","","35,342","","45","","191,483","","***","","80,465","","***","","***","","***","","***","","***","","***","","48,734","","***","","***","","18,796","","3,679","","***","","1,272","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,965","","497",""
"1980100000","1980","01106","Minami-ku","","128,845","","***","","***","","***","","***","","***","","***","","31,435","","***","","***","","89,815","","***","","***","","7,515","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","221","","98,357","","***","","***","","***","","***","","***","","***","","***","","***","","***","","526","","***","","***","","45,810","","45,934","","36,985","","4","","15,566","","31","","107,373","","***","","42,587","","***","","***","","***","","***","","***","","***","","29,622","","***","","***","","5,956","","2,217","","***","","565","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,007","","245",""
"1980100000","1980","01107","Nishi-ku","","236,035","","***","","***","","***","","***","","***","","***","","58,964","","***","","***","","162,299","","***","","***","","14,557","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","195","","211,381","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,144","","***","","***","","85,858","","90,581","","59,210","","7","","26,892","","50","","203,545","","***","","78,107","","***","","***","","***","","***","","***","","***","","54,279","","***","","***","","11,978","","4,129","","***","","1,149","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,872","","462",""
"1980100000","1980","01108","Atsubetsu-ku","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","01109","Teine-ku","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","01110","Kiyota-ku","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","01202","Hakodate-shi","","320,154","","***","","***","","***","","***","","***","","***","","73,744","","***","","***","","217,297","","***","","***","","29,032","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","354","","289,900","","***","","***","","***","","***","","***","","***","","***","","***","","***","","2,062","","***","","***","","118,432","","197,134","","4,362","","59","","13,306","","385","","329,343","","***","","107,475","","***","","***","","***","","***","","***","","***","","70,242","","***","","***","","17,988","","8,612","","***","","3,668","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","2,338","","727",""
"1980100000","1980","01203","Otaru-shi","","180,728","","***","","***","","***","","***","","***","","***","","37,726","","***","","***","","123,488","","***","","***","","19,514","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","148","","150,376","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,414","","***","","***","","65,851","","102,738","","12,077","","4","","6,012","","55","","174,714","","***","","59,287","","***","","***","","***","","***","","***","","***","","39,396","","***","","***","","8,399","","5,946","","***","","2,223","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,112","","377",""
"1980100000","1980","01204","Asahikawa-shi","","352,619","","***","","***","","***","","***","","***","","***","","82,610","","***","","***","","243,971","","***","","***","","26,003","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","475","","300,341","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,824","","***","","***","","120,076","","228,564","","3,807","","3","","9,197","","40","","358,011","","***","","117,265","","***","","***","","***","","***","","***","","***","","77,095","","***","","***","","19,396","","6,753","","***","","2,291","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","2,757","","702",""
"1980100000","1980","01205","Muroran-shi","","150,199","","***","","***","","***","","***","","***","","***","","36,927","","***","","***","","102,086","","***","","***","","11,182","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","245","","134,687","","***","","***","","***","","***","","***","","***","","***","","***","","***","","773","","***","","***","","57,046","","89,988","","3,016","","1","","15,009","","20","","162,207","","***","","50,234","","***","","***","","***","","***","","***","","***","","35,675","","***","","***","","6,456","","3,548","","***","","1,319","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","1,079","","326",""
